#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 04 21 00  70 11.9 13.4 99.00 99.00 99.00 999 1028.1  18.6 999.0 999.0 99.0 99.00
2008 01 04 22 00  62 11.2 13.1 99.00 99.00 99.00 999 1028.0  18.9 999.0 999.0 99.0 99.00
2008 01 04 23 00  59 11.6 12.9 99.00 99.00 99.00 999 1027.9  19.1 999.0 999.0 99.0 99.00
2008 01 05 00 00  66 11.0 12.4 99.00 99.00 99.00 999 1028.0  19.3 999.0 999.0 99.0 99.00
2008 01 05 01 00  68 11.9 13.6 99.00 99.00 99.00 999 1028.4  19.2 999.0 999.0 99.0 99.00
2008 01 05 02 00  69 12.7 15.0 99.00 99.00 99.00 999 1028.6  19.3 999.0 999.0 99.0 99.00
2008 01 05 03 00  72 10.8 12.5 99.00 99.00 99.00 999 1028.7  19.1 999.0 999.0 99.0 99.00
2008 01 05 04 00  62  9.9 11.3 99.00 99.00 99.00 999 1028.6  18.7 999.0 999.0 99.0 99.00
2008 01 05 05 00  66 10.8 11.7 99.00 99.00 99.00 999 1027.9  18.9 999.0 999.0 99.0 99.00
2008 01 05 06 00  62  9.8 11.1 99.00 99.00 99.00 999 1027.5  19.0 999.0 999.0 99.0 99.00
2008 01 05 07 00  61  9.9 11.4 99.00 99.00 99.00 999 1026.7  18.9 999.0 999.0 99.0 99.00
2008 01 05 08 00  64 10.7 11.6 99.00 99.00 99.00 999 1026.2  18.8 999.0 999.0 99.0 99.00
2008 01 05 09 00  63 10.8 12.3 99.00 99.00 99.00 999 1025.5  18.8 999.0 999.0 99.0 99.00
2008 01 05 10 00  58 10.5 12.4 99.00 99.00 99.00 999 1025.7  18.8 999.0 999.0 99.0 99.00
2008 01 05 11 00  63 10.0 11.2 99.00 99.00 99.00 999 1025.4  19.1 999.0 999.0 99.0 99.00
2008 01 05 12 00  65 10.9 12.7 99.00 99.00 99.00 999 1025.6  19.3 999.0 999.0 99.0 99.00
2008 01 05 13 00  65 10.5 11.9 99.00 99.00 99.00 999 1026.1  19.1 999.0 999.0 99.0 99.00
2008 01 05 14 00  72 11.3 12.7 99.00 99.00 99.00 999 1026.6  19.3 999.0 999.0 99.0 99.00
2008 01 05 15 00  68  9.8 11.2 99.00 99.00 99.00 999 1026.8  19.7 999.0 999.0 99.0 99.00
2008 01 05 16 00  66  9.3 10.3 99.00 99.00 99.00 999 1026.7  19.9 999.0 999.0 99.0 99.00
2008 01 05 17 00  66  9.0 10.0 99.00 99.00 99.00 999 1026.4  19.9 999.0 999.0 99.0 99.00
2008 01 05 18 00  68  9.0  9.8 99.00 99.00 99.00 999 1025.5  19.8 999.0 999.0 99.0 99.00
2008 01 05 19 00  65  9.8 10.9 99.00 99.00 99.00 999 1024.3  20.0 999.0 999.0 99.0 99.00
2008 01 05 20 00  67  9.8 11.2 99.00 99.00 99.00 999 1023.9  20.0 999.0 999.0 99.0 99.00
2008 01 05 21 00  66  9.0 10.0 99.00 99.00 99.00 999 1023.5  20.3 999.0 999.0 99.0 99.00
2008 01 05 22 00  78 10.5 11.0 99.00 99.00 99.00 999 1023.4  20.4 999.0 999.0 99.0 99.00
2008 01 05 23 00  71 11.4 12.1 99.00 99.00 99.00 999 1023.4  20.5 999.0 999.0 99.0 99.00
2008 01 06 00 00  75 11.0 12.2 99.00 99.00 99.00 999 1023.7  20.4 999.0 999.0 99.0 99.00
2008 01 06 01 00  73 11.0 11.5 99.00 99.00 99.00 999 1024.2  20.5 999.0 999.0 99.0 99.00
2008 01 06 02 00  80  9.4 10.7 99.00 99.00 99.00 999 1024.6  21.0 999.0 999.0 99.0 99.00
2008 01 06 03 00  68  9.4 10.3 99.00 99.00 99.00 999 1025.0  20.7 999.0 999.0 99.0 99.00
2008 01 06 04 00  62  9.4  9.9 99.00 99.00 99.00 999 1024.9  20.4 999.0 999.0 99.0 99.00
2008 01 06 05 00  66  8.3  9.1 99.00 99.00 99.00 999 1024.4  20.5 999.0 999.0 99.0 99.00
2008 01 06 06 00  69  8.2  8.8 99.00 99.00 99.00 999 1024.0  20.5 999.0 999.0 99.0 99.00
2008 01 06 07 00  68  8.6  9.8 99.00 99.00 99.00 999 1023.4  20.6 999.0 999.0 99.0 99.00
2008 01 06 08 00  68  9.0  9.7 99.00 99.00 99.00 999 1022.8  20.6 999.0 999.0 99.0 99.00
2008 01 06 09 00  59  9.0  9.8 99.00 99.00 99.00 999 1022.7  20.6 999.0 999.0 99.0 99.00
2008 01 06 10 00  73  8.4  8.9 99.00 99.00 99.00 999 1022.2  20.6 999.0 999.0 99.0 99.00
2008 01 06 11 00  79  8.9  9.4 99.00 99.00 99.00 999 1022.5  20.8 999.0 999.0 99.0 99.00
2008 01 06 12 00  77  9.8 10.6 99.00 99.00 99.00 999 1022.9  20.7 999.0 999.0 99.0 99.00
2008 01 06 13 00  75  9.2 10.0 99.00 99.00 99.00 999 1023.4  20.6 999.0 999.0 99.0 99.00
2008 01 06 14 00  73  9.7 10.5 99.00 99.00 99.00 999 1024.0  20.9 999.0 999.0 99.0 99.00
2008 01 06 15 00  69  7.8  8.6 99.00 99.00 99.00 999 1024.9  21.1 999.0 999.0 99.0 99.00
2008 01 06 16 00  64  7.9  8.3 99.00 99.00 99.00 999 1024.8  21.0 999.0 999.0 99.0 99.00
2008 01 06 17 00  75  8.8  9.5 99.00 99.00 99.00 999 1024.1  21.2 999.0 999.0 99.0 99.00
2008 01 06 18 00  79  8.5  9.6 99.00 99.00 99.00 999 1023.2  21.4 999.0 999.0 99.0 99.00
